CbTagName;date;ed
CB First Floor;03/11/2017;54
CB First Floor;04/11/2017;39
CB First Floor;05/11/2017;38
CB First Floor;06/11/2017;58
CB First Floor;07/11/2017;59
CB First Floor;08/11/2017;63
CB First Floor;09/11/2017;67
CB First Floor;10/11/2017;67
CB First Floor;11/11/2017;51
CB First Floor;12/11/2017;50
CB First Floor;13/11/2017;73
CB First Floor;14/11/2017;87
CB First Floor;15/11/2017;80
CB First Floor;16/11/2017;78
CB First Floor;17/11/2017;75
CB First Floor;18/11/2017;63
CB First Floor;19/11/2017;64
CB First Floor;20/11/2017;80
CB First Floor;21/11/2017;76
CB First Floor;22/11/2017;75
CB First Floor;23/11/2017;69
CB First Floor;24/11/2017;68
CB First Floor;25/11/2017;51
CB First Floor;26/11/2017;57
CB First Floor;27/11/2017;83
CB First Floor;28/11/2017;83
CB First Floor;29/11/2017;85
CB First Floor;30/11/2017;79
CB First Floor;01/12/2017;79
CB First Floor;02/12/2017;63
CB First Floor;03/12/2017;62
CB First Floor;04/12/2017;65
CB First Floor;05/12/2017;56
CB First Floor;06/12/2017;57
CB First Floor;07/12/2017;58
CB First Floor;08/12/2017;35
CB First Floor;09/12/2017;36
CB First Floor;10/12/2017;43
CB First Floor;11/12/2017;82
CB First Floor;12/12/2017;65
CB First Floor;13/12/2017;60
CB First Floor;14/12/2017;68
CB First Floor;15/12/2017;58
CB First Floor;16/12/2017;41
CB First Floor;17/12/2017;36
CB First Floor;18/12/2017;76
CB First Floor;19/12/2017;59
CB First Floor;20/12/2017;60
CB First Floor;21/12/2017;62
CB First Floor;22/12/2017;57
CB First Floor;23/12/2017;38
CB First Floor;24/12/2017;41
CB First Floor;25/12/2017;41
CB First Floor;26/12/2017;44
CB First Floor;27/12/2017;46
CB First Floor;28/12/2017;58
CB First Floor;29/12/2017;46
CB First Floor;30/12/2017;41
CB First Floor;31/12/2017;42
CB First Floor;01/01/2018;54
CB First Floor;02/01/2018;57
CB First Floor;03/01/2018;59
CB First Floor;04/01/2018;61
CB First Floor;05/01/2018;62
CB First Floor;06/01/2018;43
CB First Floor;07/01/2018;41
CB First Floor;08/01/2018;60
CB First Floor;09/01/2018;60
CB First Floor;10/01/2018;61
CB First Floor;11/01/2018;70
CB First Floor;12/01/2018;72
CB First Floor;13/01/2018;45
CB First Floor;14/01/2018;52
CB First Floor;15/01/2018;73
CB First Floor;16/01/2018;79
CB First Floor;17/01/2018;84
CB First Floor;18/01/2018;80
CB First Floor;19/01/2018;77
CB First Floor;20/01/2018;61
CB First Floor;22/01/2018;91
CB First Floor;23/01/2018;78
CB First Floor;24/01/2018;81
CB First Floor;25/01/2018;73
CB First Floor;26/01/2018;73
CB First Floor;27/01/2018;50
CB First Floor;28/01/2018;47
CB First Floor;29/01/2018;69
CB First Floor;30/01/2018;70
CB First Floor;31/01/2018;68
