"","date","windSpeed.X","windSpeed.date","windSpeed.windSpeed"
"195",2017-10-15,195,"2017-10-15",0.42
"196",2017-10-16,196,"2017-10-16",0.3
"197",2017-10-17,197,"2017-10-17",0.16
"198",2017-10-18,198,"2017-10-18",0.13
"199",2017-10-19,199,"2017-10-19",0.47
"200",2017-10-20,200,"2017-10-20",0.46
"201",2017-10-21,201,"2017-10-21",0.3
"202",2017-10-22,202,"2017-10-22",0.55
"203",2017-10-23,203,"2017-10-23",2.29
"204",2017-10-24,204,"2017-10-24",0.36
"205",2017-10-25,205,"2017-10-25",0.52
"206",2017-10-26,206,"2017-10-26",0.46
"207",2017-10-27,207,"2017-10-27",1.14
"208",2017-10-28,208,"2017-10-28",0.61
"209",2017-10-29,209,"2017-10-29",3.22
"210",2017-10-30,210,"2017-10-30",3.22
"211",2017-10-31,211,"2017-10-31",0.62
"212",2017-11-01,212,"2017-11-01",0.31
"213",2017-11-02,213,"2017-11-02",0.13
"214",2017-11-03,214,"2017-11-03",0.2
"215",2017-11-04,215,"2017-11-04",0.24
"216",2017-11-05,216,"2017-11-05",0.09
"217",2017-11-06,217,"2017-11-06",1.77
"218",2017-11-07,218,"2017-11-07",0.82
"219",2017-11-08,219,"2017-11-08",0.16
"220",2017-11-09,220,"2017-11-09",0.38
"221",2017-11-10,221,"2017-11-10",0.25
"222",2017-11-11,222,"2017-11-11",0.4
"223",2017-11-12,223,"2017-11-12",0.33
"224",2017-11-13,224,"2017-11-13",0.55
"225",2017-11-14,225,"2017-11-14",0.5
"226",2017-11-15,226,"2017-11-15",0.09
"227",2017-11-16,227,"2017-11-16",0.42
"228",2017-11-17,228,"2017-11-17",0.26
"229",2017-11-18,229,"2017-11-18",0.08
"230",2017-11-19,230,"2017-11-19",0.26
"231",2017-11-20,231,"2017-11-20",0.6
"232",2017-11-21,232,"2017-11-21",0.07
"233",2017-11-22,233,"2017-11-22",0.56
"234",2017-11-23,234,"2017-11-23",0.22
"235",2017-11-24,235,"2017-11-24",0.49
"236",2017-11-25,236,"2017-11-25",0.21
"237",2017-11-26,237,"2017-11-26",0.07
"238",2017-11-27,238,"2017-11-27",1.35
"239",2017-11-28,239,"2017-11-28",0.4
"240",2017-11-29,240,"2017-11-29",0.03
"241",2017-11-30,241,"2017-11-30",0.33
"242",2017-12-01,242,"2017-12-01",1.03
"243",2017-12-02,243,"2017-12-02",0.9
"244",2017-12-03,244,"2017-12-03",0.86
"245",2017-12-04,245,"2017-12-04",0.19
"246",2017-12-05,246,"2017-12-05",0.29
"247",2017-12-06,247,"2017-12-06",0.04
"248",2017-12-07,248,"2017-12-07",0.73
"249",2017-12-08,249,"2017-12-08",0.35
"250",2017-12-09,250,"2017-12-09",0.28
"251",2017-12-10,251,"2017-12-10",4.55
"252",2017-12-11,252,"2017-12-11",0.31
"253",2017-12-12,253,"2017-12-12",0.36
"254",2017-12-13,254,"2017-12-13",0.65
"255",2017-12-14,255,"2017-12-14",0.64
"256",2017-12-15,256,"2017-12-15",0.46
"257",2017-12-16,257,"2017-12-16",1.06
"258",2017-12-17,258,"2017-12-17",0.43
"259",2017-12-18,259,"2017-12-18",0.99
"260",2017-12-19,260,"2017-12-19",0.45
"261",2017-12-20,261,"2017-12-20",0.44
"262",2017-12-21,262,"2017-12-21",0.23
"263",2017-12-22,263,"2017-12-22",0.38
"264",2017-12-23,264,"2017-12-23",0.46
"265",2017-12-24,265,"2017-12-24",0.38
"266",2017-12-25,266,"2017-12-25",0.68
"267",2017-12-26,267,"2017-12-26",0.32
"268",2017-12-27,268,"2017-12-27",0.5
"269",2017-12-28,269,"2017-12-28",0.8
"270",2017-12-29,270,"2017-12-29",1.29
"271",2017-12-30,271,"2017-12-30",1.07
"272",2017-12-31,272,"2017-12-31",0.66
"273",2018-01-01,273,"2018-01-01",0.24
"274",2018-01-02,274,"2018-01-02",0.46
"275",2018-01-03,275,"2018-01-03",2.47
"276",2018-01-04,276,"2018-01-04",0.63
"277",2018-01-05,277,"2018-01-05",0.41
"278",2018-01-06,278,"2018-01-06",0.32
"279",2018-01-07,279,"2018-01-07",0.1
"280",2018-01-08,280,"2018-01-08",0.22
"281",2018-01-09,281,"2018-01-09",1.8
"282",2018-01-10,282,"2018-01-10",1.97
"283",2018-01-11,283,"2018-01-11",0.12
"284",2018-01-12,284,"2018-01-12",0.12
"285",2018-01-13,285,"2018-01-13",0.21
"286",2018-01-14,286,"2018-01-14",0.21
"287",2018-01-15,287,"2018-01-15",0.18
"288",2018-01-16,288,"2018-01-16",0.25
"289",2018-01-17,289,"2018-01-17",0.84
"290",2018-01-18,290,"2018-01-18",2.46
"291",2018-01-19,291,"2018-01-19",0.97
"292",2018-01-20,292,"2018-01-20",0.4
"293",2018-01-22,293,"2018-01-22",1.73
"294",2018-01-23,294,"2018-01-23",0.28
"295",2018-01-24,295,"2018-01-24",0.81
"296",2018-01-25,296,"2018-01-25",0.66
"297",2018-01-26,297,"2018-01-26",0.08
"298",2018-01-27,298,"2018-01-27",0.33
"299",2018-01-28,299,"2018-01-28",1.22
"300",2018-01-29,300,"2018-01-29",0.44
"301",2018-01-30,301,"2018-01-30",0.32
"302",2018-01-31,302,"2018-01-31",0.62
"303",2018-02-01,303,"2018-02-01",0.32
"304",2018-02-02,304,"2018-02-02",1.46
"305",2018-02-03,305,"2018-02-03",0.64
"306",2018-02-04,306,"2018-02-04",0.8
"307",2018-02-05,307,"2018-02-05",0.68
"308",2018-02-06,308,"2018-02-06",1.27
"309",2018-02-07,309,"2018-02-07",0.54
"310",2018-02-08,310,"2018-02-08",0.62
"311",2018-02-09,311,"2018-02-09",0.52
"312",2018-02-10,312,"2018-02-10",0.19
"313",2018-02-11,313,"2018-02-11",0.68
"314",2018-02-12,314,"2018-02-12",0.65
"315",2018-02-13,315,"2018-02-13",0.76
"316",2018-02-14,316,"2018-02-14",0.59
"317",2018-02-15,317,"2018-02-15",0.52
"318",2018-02-16,318,"2018-02-16",0.46
"319",2018-02-17,319,"2018-02-17",0.2
"320",2018-02-18,320,"2018-02-18",0.26
"321",2018-02-19,321,"2018-02-19",0.83
"322",2018-02-20,322,"2018-02-20",0.3
"323",2018-02-21,323,"2018-02-21",0.85
"324",2018-02-22,324,"2018-02-22",0.69
"325",2018-02-23,325,"2018-02-23",1.02
"326",2018-02-24,326,"2018-02-24",0.51
"327",2018-02-25,327,"2018-02-25",0.42
"328",2018-02-26,328,"2018-02-26",3.21
"329",2018-02-27,329,"2018-02-27",1.18
"330",2018-02-28,330,"2018-02-28",0.61
"331",2018-03-01,331,"2018-03-01",1.46
"332",2018-03-02,332,"2018-03-02",0.13
"333",2018-03-03,333,"2018-03-03",0.79
"334",2018-03-04,334,"2018-03-04",0.21
"335",2018-03-05,335,"2018-03-05",0.68
"336",2018-03-06,336,"2018-03-06",0.59
"337",2018-03-07,337,"2018-03-07",0.71
"338",2018-03-08,338,"2018-03-08",0.32
"339",2018-03-09,339,"2018-03-09",0.21
"340",2018-03-10,340,"2018-03-10",0.56
"341",2018-03-11,341,"2018-03-11",0.18
"342",2018-03-12,342,"2018-03-12",0.41
"343",2018-03-13,343,"2018-03-13",0.38
"344",2018-03-14,344,"2018-03-14",0.51
"345",2018-03-15,345,"2018-03-15",0.7
"346",2018-03-16,346,"2018-03-16",1.27
"347",2018-03-17,347,"2018-03-17",1
"348",2018-03-18,348,"2018-03-18",0.91
"349",2018-03-19,349,"2018-03-19",0.67
"350",2018-03-20,350,"2018-03-20",1.15
"351",2018-03-21,351,"2018-03-21",1.06
"352",2018-03-22,352,"2018-03-22",0.74
"353",2018-03-23,353,"2018-03-23",0.6
"354",2018-03-24,354,"2018-03-24",1.31
"355",2018-03-25,355,"2018-03-25",1.61
"356",2018-03-26,356,"2018-03-26",1.68
"357",2018-03-27,357,"2018-03-27",0.28
"358",2018-03-28,358,"2018-03-28",0.52
"359",2018-03-29,359,"2018-03-29",1.07
"360",2018-03-30,360,"2018-03-30",2.72
"361",2018-03-31,361,"2018-03-31",1.56
"362",2018-04-01,362,"2018-04-01",2.36
"363",2018-04-02,363,"2018-04-02",1.06
"364",2018-04-03,364,"2018-04-03",0.78
"365",2018-04-04,365,"2018-04-04",1.1
"366",2018-04-05,366,"2018-04-05",1.43
"367",2018-04-06,367,"2018-04-06",0.93
"368",2018-04-07,368,"2018-04-07",0.84
"369",2018-04-08,369,"2018-04-08",2.02
"370",2018-04-09,370,"2018-04-09",1.18
"371",2018-04-10,371,"2018-04-10",0.31
"372",2018-04-11,372,"2018-04-11",1.47
"373",2018-04-12,373,"2018-04-12",1.68
"374",2018-04-13,374,"2018-04-13",0.49
"375",2018-04-14,375,"2018-04-14",0.05
"376",2018-04-15,376,"2018-04-15",0.89
"377",2018-04-16,377,"2018-04-16",0.32
"378",2018-04-17,378,"2018-04-17",1.01
"379",2018-04-18,379,"2018-04-18",0.76
"380",2018-04-19,380,"2018-04-19",0.83
"381",2018-04-20,381,"2018-04-20",0.44
"382",2018-04-21,382,"2018-04-21",0.82
"383",2018-04-22,383,"2018-04-22",0.88
"384",2018-04-23,384,"2018-04-23",0.83
"385",2018-04-24,385,"2018-04-24",0.85
"386",2018-04-25,386,"2018-04-25",1.95
"387",2018-04-26,387,"2018-04-26",1.08
"388",2018-04-27,388,"2018-04-27",1.83
"389",2018-04-28,389,"2018-04-28",0.85
"390",2018-04-29,390,"2018-04-29",2.67
"391",2018-04-30,391,"2018-04-30",1.28
"392",2018-05-01,392,"2018-05-01",1.47
"393",2018-05-02,393,"2018-05-02",1.22
"394",2018-05-03,394,"2018-05-03",1.02
"395",2018-05-04,395,"2018-05-04",0.29
"396",2018-05-05,396,"2018-05-05",0.21
"397",2018-05-06,397,"2018-05-06",0.57
"398",2018-05-07,398,"2018-05-07",0.2
"399",2018-05-08,399,"2018-05-08",0.37
"400",2018-05-09,400,"2018-05-09",0.67
"401",2018-05-10,401,"2018-05-10",0.43
"402",2018-05-11,402,"2018-05-11",0.5
"403",2018-05-12,403,"2018-05-12",0.31
"404",2018-05-13,404,"2018-05-13",0.58
"405",2018-05-14,405,"2018-05-14",1.39
"406",2018-05-15,406,"2018-05-15",1.04
"407",2018-05-16,407,"2018-05-16",0.53
"408",2018-05-17,408,"2018-05-17",0.27
"409",2018-05-18,409,"2018-05-18",0.45
"410",2018-05-19,410,"2018-05-19",2.25
"411",2018-05-20,411,"2018-05-20",3.92
"412",2018-05-22,412,"2018-05-22",0.31
"413",2018-05-23,413,"2018-05-23",1.42
"414",2018-05-24,414,"2018-05-24",0.46
"415",2018-05-25,415,"2018-05-25",0.88
"416",2018-05-26,416,"2018-05-26",0.13
"417",2018-05-27,417,"2018-05-27",2.13
"418",2018-05-28,418,"2018-05-28",3.11
"419",2018-05-29,419,"2018-05-29",1.52
"420",2018-05-30,420,"2018-05-30",2.37
