CbTagName;date;ed
CB Second Floor;02/04/2018;51
CB Second Floor;03/04/2018;64
CB Second Floor;04/04/2018;62
CB Second Floor;05/04/2018;59
CB Second Floor;06/04/2018;60
CB Second Floor;07/04/2018;44
CB Second Floor;08/04/2018;44
CB Second Floor;09/04/2018;60
CB Second Floor;10/04/2018;62
CB Second Floor;11/04/2018;65
CB Second Floor;12/04/2018;63
CB Second Floor;13/04/2018;63
CB Second Floor;14/04/2018;50
CB Second Floor;15/04/2018;45
CB Second Floor;16/04/2018;59
CB Second Floor;17/04/2018;56
CB Second Floor;18/04/2018;55
CB Second Floor;19/04/2018;61
CB Second Floor;20/04/2018;61
CB Second Floor;21/04/2018;46
CB Second Floor;22/04/2018;45
CB Second Floor;23/04/2018;55
CB Second Floor;24/04/2018;53
CB Second Floor;25/04/2018;39
CB Second Floor;26/04/2018;51
CB Second Floor;27/04/2018;50
CB Second Floor;28/04/2018;37
CB Second Floor;29/04/2018;37
CB Second Floor;30/04/2018;38
CB Second Floor;01/05/2018;37
CB Second Floor;02/05/2018;54
CB Second Floor;03/05/2018;51
CB Second Floor;04/05/2018;49
CB Second Floor;05/05/2018;37
CB Second Floor;06/05/2018;37
CB Second Floor;07/05/2018;51
CB Second Floor;08/05/2018;50
CB Second Floor;09/05/2018;52
CB Second Floor;10/05/2018;52
CB Second Floor;11/05/2018;51
CB Second Floor;12/05/2018;38
CB Second Floor;13/05/2018;36
CB Second Floor;14/05/2018;53
CB Second Floor;15/05/2018;55
CB Second Floor;16/05/2018;52
CB Second Floor;17/05/2018;53
CB Second Floor;18/05/2018;49
CB Second Floor;19/05/2018;36
CB Second Floor;20/05/2018;34
CB Second Floor;22/05/2018;59
CB Second Floor;23/05/2018;50
CB Second Floor;24/05/2018;50
CB Second Floor;25/05/2018;51
CB Second Floor;26/05/2018;37
CB Second Floor;27/05/2018;36
CB Second Floor;28/05/2018;51
CB Second Floor;29/05/2018;51
CB Second Floor;30/05/2018;50
CB Second Floor;31/05/2018;51
CB Second Floor;01/06/2018;49
CB Second Floor;02/06/2018;35
CB Second Floor;03/06/2018;35
CB Second Floor;04/06/2018;53
CB Second Floor;05/06/2018;51
CB Second Floor;06/06/2018;52
CB Second Floor;07/06/2018;52
CB Second Floor;08/06/2018;52
CB Second Floor;09/06/2018;37
CB Second Floor;10/06/2018;36
CB Second Floor;11/06/2018;51
CB Second Floor;12/06/2018;53
CB Second Floor;13/06/2018;52
CB Second Floor;14/06/2018;53
CB Second Floor;15/06/2018;51
CB Second Floor;16/06/2018;39
CB Second Floor;17/06/2018;36
CB Second Floor;18/06/2018;52
CB Second Floor;19/06/2018;53
CB Second Floor;20/06/2018;52
CB Second Floor;21/06/2018;54
CB Second Floor;22/06/2018;52
CB Second Floor;23/06/2018;36
CB Second Floor;24/06/2018;37
CB Second Floor;25/06/2018;51
CB Second Floor;26/06/2018;52
CB Second Floor;27/06/2018;51
CB Second Floor;28/06/2018;51
CB Second Floor;29/06/2018;51
CB Second Floor;30/06/2018;37
CB Second Floor;01/07/2018;35
CB Second Floor;02/07/2018;52
CB Second Floor;03/07/2018;54
CB Second Floor;04/07/2018;54
CB Second Floor;05/07/2018;53
CB Second Floor;06/07/2018;52
CB Second Floor;07/07/2018;40
CB Second Floor;08/07/2018;39
CB Second Floor;09/07/2018;53
CB Second Floor;10/07/2018;54
CB Second Floor;11/07/2018;54
CB Second Floor;12/07/2018;53
CB Second Floor;13/07/2018;52
CB Second Floor;14/07/2018;39
CB Second Floor;15/07/2018;38
CB Second Floor;16/07/2018;55
CB Second Floor;17/07/2018;52
CB Second Floor;18/07/2018;53
CB Second Floor;19/07/2018;52
CB Second Floor;20/07/2018;52
CB Second Floor;21/07/2018;40
CB Second Floor;22/07/2018;39
CB Second Floor;23/07/2018;53
CB Second Floor;24/07/2018;48
CB Second Floor;25/07/2018;53
CB Second Floor;26/07/2018;52
CB Second Floor;27/07/2018;51
CB Second Floor;28/07/2018;40
CB Second Floor;29/07/2018;39
CB Second Floor;30/07/2018;53
CB Second Floor;31/07/2018;52
CB Second Floor;01/08/2018;56
CB Second Floor;02/08/2018;59
CB Second Floor;03/08/2018;51
CB Second Floor;04/08/2018;40
CB Second Floor;06/08/2018;54
CB Second Floor;07/08/2018;51
CB Second Floor;08/08/2018;51
CB Second Floor;09/08/2018;49
CB Second Floor;10/08/2018;48
CB Second Floor;11/08/2018;38
CB Second Floor;12/08/2018;38
CB Second Floor;13/08/2018;41
CB Second Floor;14/08/2018;41
CB Second Floor;20/08/2018;52
CB Second Floor;21/08/2018;48
CB Second Floor;22/08/2018;47
CB Second Floor;23/08/2018;47
CB Second Floor;24/08/2018;48
CB Second Floor;25/08/2018;36
CB Second Floor;26/08/2018;38
CB Second Floor;27/08/2018;52
CB Second Floor;28/08/2018;52
CB Second Floor;29/08/2018;51
CB Second Floor;30/08/2018;51
CB Second Floor;31/08/2018;56
CB Second Floor;01/09/2018;39
CB Second Floor;02/09/2018;38
CB Second Floor;03/09/2018;53
CB Second Floor;04/09/2018;51
CB Second Floor;05/09/2018;52
CB Second Floor;06/09/2018;52
CB Second Floor;07/09/2018;51
CB Second Floor;08/09/2018;38
CB Second Floor;09/09/2018;38
CB Second Floor;10/09/2018;54
CB Second Floor;11/09/2018;53
CB Second Floor;12/09/2018;54
CB Second Floor;13/09/2018;54
CB Second Floor;14/09/2018;51
CB Second Floor;15/09/2018;39
CB Second Floor;16/09/2018;37
CB Second Floor;17/09/2018;53
CB Second Floor;18/09/2018;54
CB Second Floor;19/09/2018;54
CB Second Floor;20/09/2018;54
CB Second Floor;21/09/2018;54
CB Second Floor;22/09/2018;39
CB Second Floor;23/09/2018;37
CB Second Floor;24/09/2018;55
CB Second Floor;25/09/2018;55
CB Second Floor;26/09/2018;55
CB Second Floor;27/09/2018;55
CB Second Floor;28/09/2018;53
CB Second Floor;29/09/2018;39
CB Second Floor;30/09/2018;37
CB Second Floor;01/10/2018;56
CB Second Floor;02/10/2018;52
CB Second Floor;03/10/2018;51
CB Second Floor;04/10/2018;53
CB Second Floor;05/10/2018;53
CB Second Floor;06/10/2018;36
CB Second Floor;07/10/2018;37
CB Second Floor;08/10/2018;52
CB Second Floor;09/10/2018;52
CB Second Floor;10/10/2018;53
CB Second Floor;11/10/2018;54
CB Second Floor;12/10/2018;51
CB Second Floor;13/10/2018;40
CB Second Floor;14/10/2018;38
CB Second Floor;15/10/2018;54
CB Second Floor;16/10/2018;53
CB Second Floor;17/10/2018;53
CB Second Floor;18/10/2018;53
CB Second Floor;19/10/2018;53
CB Second Floor;20/10/2018;38
CB Second Floor;21/10/2018;37
CB Second Floor;22/10/2018;66
CB Second Floor;23/10/2018;64
CB Second Floor;24/10/2018;70
CB Second Floor;25/10/2018;59
CB Second Floor;26/10/2018;55
CB Second Floor;27/10/2018;37
CB Second Floor;28/10/2018;35
CB Second Floor;29/10/2018;56
CB Second Floor;30/10/2018;65
CB Second Floor;31/10/2018;63
CB Second Floor;01/11/2018;37
CB Second Floor;02/11/2018;38
CB Second Floor;03/11/2018;36
CB Second Floor;04/11/2018;35
CB Second Floor;05/11/2018;56
CB Second Floor;06/11/2018;56
CB Second Floor;07/11/2018;56
CB Second Floor;08/11/2018;55
CB Second Floor;09/11/2018;56
CB Second Floor;10/11/2018;39
CB Second Floor;11/11/2018;37
CB Second Floor;12/11/2018;58
CB Second Floor;13/11/2018;58
CB Second Floor;14/11/2018;56
CB Second Floor;15/11/2018;58
CB Second Floor;16/11/2018;66
CB Second Floor;17/11/2018;53
CB Second Floor;18/11/2018;56
CB Second Floor;19/11/2018;79
CB Second Floor;20/11/2018;76
CB Second Floor;21/11/2018;76
CB Second Floor;22/11/2018;69
CB Second Floor;23/11/2018;66
CB Second Floor;24/11/2018;46
CB Second Floor;25/11/2018;46
CB Second Floor;26/11/2018;65
CB Second Floor;27/11/2018;69
CB Second Floor;28/11/2018;77
CB Second Floor;29/11/2018;74
CB Second Floor;30/11/2018;75
CB Second Floor;01/12/2018;60
CB Second Floor;02/12/2018;61
CB Second Floor;03/12/2018;75
CB Second Floor;04/12/2018;80
CB Second Floor;05/12/2018;78
CB Second Floor;06/12/2018;75
CB Second Floor;07/12/2018;75
CB Second Floor;08/12/2018;64
CB Second Floor;09/12/2018;66
CB Second Floor;10/12/2018;89
CB Second Floor;11/12/2018;90
CB Second Floor;12/12/2018;91
CB Second Floor;13/12/2018;92
CB Second Floor;14/12/2018;86
CB Second Floor;15/12/2018;52
CB Second Floor;16/12/2018;65
CB Second Floor;17/12/2018;86
