CbTagName;date;ed 
CB Third Floor;13/02/2019-18;84
CB Third Floor;13/02/2019-19;94
CB Third Floor;13/02/2019-20;100
CB Third Floor;13/02/2019-21;117
CB Third Floor;13/02/2019-22;123
CB Third Floor;14/02/2019-00;141
CB Third Floor;14/02/2019-01;145
CB Third Floor;14/02/2019-02;146
CB Third Floor;14/02/2019-03;148
CB Third Floor;14/02/2019-04;151
CB Third Floor;14/02/2019-05;153
CB Third Floor;14/02/2019-06;153
CB Third Floor;14/02/2019-07;160
CB Third Floor;14/02/2019-08;155
CB Third Floor;14/02/2019-09;110
CB Third Floor;14/02/2019-10;78
CB Third Floor;14/02/2019-11;67
CB Third Floor;14/02/2019-12;55
CB Third Floor;14/02/2019-13;52
CB Third Floor;14/02/2019-14;46
CB Third Floor;14/02/2019-15;60
CB Third Floor;14/02/2019-16;74
CB Third Floor;14/02/2019-17;85
CB Third Floor;14/02/2019-18;81
CB Third Floor;14/02/2019-19;84
CB Third Floor;14/02/2019-20;91
CB Third Floor;14/02/2019-21;101
CB Third Floor;14/02/2019-22;104
CB Third Floor;14/02/2019-23;119
CB Third Floor;15/02/2019-00;130
CB Third Floor;15/02/2019-01;135
CB Third Floor;15/02/2019-02;139
CB Third Floor;15/02/2019-03;139
CB Third Floor;15/02/2019-04;134
CB Third Floor;15/02/2019-05;149
CB Third Floor;15/02/2019-06;144
CB Third Floor;15/02/2019-07;142
CB Third Floor;15/02/2019-08;128
CB Third Floor;15/02/2019-09;101
CB Third Floor;15/02/2019-10;76
CB Third Floor;15/02/2019-11;70
CB Third Floor;15/02/2019-12;61
CB Third Floor;15/02/2019-13;56
CB Third Floor;15/02/2019-14;54
CB Third Floor;15/02/2019-15;62
CB Third Floor;15/02/2019-16;63
CB Third Floor;15/02/2019-17;75
CB Third Floor;15/02/2019-18;77
CB Third Floor;15/02/2019-19;86
CB Third Floor;15/02/2019-20;90
CB Third Floor;15/02/2019-21;94
CB Third Floor;15/02/2019-22;96
CB Third Floor;15/02/2019-23;96
CB Third Floor;16/02/2019-00;117
CB Third Floor;16/02/2019-01;108
CB Third Floor;16/02/2019-02;130
CB Third Floor;16/02/2019-03;144
CB Third Floor;16/02/2019-04;150
CB Third Floor;16/02/2019-05;145
CB Third Floor;16/02/2019-06;146
CB Third Floor;16/02/2019-07;145
CB Third Floor;16/02/2019-08;147
CB Third Floor;16/02/2019-09;100
CB Third Floor;16/02/2019-10;88
CB Third Floor;16/02/2019-11;68
CB Third Floor;16/02/2019-12;50
CB Third Floor;16/02/2019-13;42
CB Third Floor;16/02/2019-14;43
CB Third Floor;16/02/2019-15;47
CB Third Floor;16/02/2019-16;68
CB Third Floor;16/02/2019-17;79
CB Third Floor;16/02/2019-18;74
CB Third Floor;16/02/2019-19;82
CB Third Floor;16/02/2019-20;92
CB Third Floor;16/02/2019-21;96
CB Third Floor;16/02/2019-22;90
CB Third Floor;16/02/2019-23;107
CB Third Floor;17/02/2019-00;116
CB Third Floor;17/02/2019-01;132
CB Third Floor;17/02/2019-02;127
CB Third Floor;17/02/2019-03;139
CB Third Floor;17/02/2019-04;141
CB Third Floor;17/02/2019-05;141
CB Third Floor;17/02/2019-06;151
CB Third Floor;17/02/2019-07;154
CB Third Floor;17/02/2019-08;140
CB Third Floor;17/02/2019-09;100
CB Third Floor;17/02/2019-10;77
CB Third Floor;17/02/2019-11;71
CB Third Floor;17/02/2019-12;53
CB Third Floor;17/02/2019-13;41
CB Third Floor;17/02/2019-14;40
CB Third Floor;17/02/2019-15;42
CB Third Floor;17/02/2019-16;66
CB Third Floor;17/02/2019-17;79
CB Third Floor;17/02/2019-18;78
CB Third Floor;17/02/2019-19;81
CB Third Floor;17/02/2019-20;84
CB Third Floor;17/02/2019-21;90
CB Third Floor;17/02/2019-22;97
CB Third Floor;17/02/2019-23;93
CB Third Floor;18/02/2019-00;104
CB Third Floor;18/02/2019-01;118
CB Third Floor;18/02/2019-02;128
CB Third Floor;18/02/2019-03;141
CB Third Floor;18/02/2019-04;143
CB Third Floor;18/02/2019-05;143
CB Third Floor;18/02/2019-06;141
CB Third Floor;18/02/2019-07;143
CB Third Floor;18/02/2019-08;123
CB Third Floor;18/02/2019-09;89
CB Third Floor;18/02/2019-10;78
CB Third Floor;18/02/2019-11;69
CB Third Floor;18/02/2019-12;57
CB Third Floor;18/02/2019-13;52
CB Third Floor;18/02/2019-14;49
CB Third Floor;18/02/2019-15;63
CB Third Floor;18/02/2019-16;73
CB Third Floor;18/02/2019-17;72
CB Third Floor;18/02/2019-18;76
CB Third Floor;18/02/2019-19;77
CB Third Floor;18/02/2019-20;85
CB Third Floor;18/02/2019-21;87
CB Third Floor;18/02/2019-22;87
CB Third Floor;18/02/2019-23;93
CB Third Floor;19/02/2019-00;111
CB Third Floor;19/02/2019-01;117
CB Third Floor;19/02/2019-02;128
CB Third Floor;19/02/2019-03;131
CB Third Floor;19/02/2019-04;139
CB Third Floor;19/02/2019-05;138
CB Third Floor;19/02/2019-06;133
CB Third Floor;19/02/2019-07;146
CB Third Floor;19/02/2019-08;132
CB Third Floor;19/02/2019-09;101
CB Third Floor;19/02/2019-10;76
CB Third Floor;19/02/2019-11;68
CB Third Floor;19/02/2019-12;56
CB Third Floor;19/02/2019-13;51
CB Third Floor;19/02/2019-14;52
CB Third Floor;19/02/2019-15;60
CB Third Floor;19/02/2019-16;71
CB Third Floor;19/02/2019-17;82
CB Third Floor;19/02/2019-18;77
CB Third Floor;19/02/2019-19;81
CB Third Floor;19/02/2019-20;89
CB Third Floor;19/02/2019-21;91
CB Third Floor;19/02/2019-22;89
CB Third Floor;19/02/2019-23;98
CB Third Floor;20/02/2019-00;113
CB Third Floor;20/02/2019-01;125
CB Third Floor;20/02/2019-02;125
CB Third Floor;20/02/2019-03;130
CB Third Floor;20/02/2019-04;137
CB Third Floor;20/02/2019-05;141
CB Third Floor;20/02/2019-06;141
CB Third Floor;20/02/2019-07;135
CB Third Floor;20/02/2019-08;141
CB Third Floor;20/02/2019-09;109
CB Third Floor;20/02/2019-10;89
CB Third Floor;20/02/2019-11;65
CB Third Floor;20/02/2019-12;55
CB Third Floor;20/02/2019-13;47
CB Third Floor;20/02/2019-14;55
CB Third Floor;20/02/2019-15;63
CB Third Floor;20/02/2019-16;74
CB Third Floor;20/02/2019-17;86
CB Third Floor;20/02/2019-18;86
CB Third Floor;20/02/2019-19;91
CB Third Floor;20/02/2019-20;99
CB Third Floor;20/02/2019-21;101
CB Third Floor;20/02/2019-22;107
CB Third Floor;20/02/2019-23;122
CB Third Floor;21/02/2019-00;137
CB Third Floor;21/02/2019-01;138
CB Third Floor;21/02/2019-02;148
CB Third Floor;21/02/2019-03;148
CB Third Floor;21/02/2019-04;144
CB Third Floor;21/02/2019-05;159
CB Third Floor;21/02/2019-06;153
CB Third Floor;21/02/2019-07;152
CB Third Floor;21/02/2019-08;137
CB Third Floor;21/02/2019-09;96
CB Third Floor;21/02/2019-10;77
CB Third Floor;21/02/2019-11;65
CB Third Floor;21/02/2019-12;52
CB Third Floor;21/02/2019-13;50
