CbTagName;date;ed 
CB Third Floor;30/12/2017;135
CB Third Floor;31/12/2017;149
CB Third Floor;01/01/2018;128
CB Third Floor;02/01/2018;137
CB Third Floor;03/01/2018;164
CB Third Floor;04/01/2018;125
CB Third Floor;05/01/2018;131
CB Third Floor;06/01/2018;109
CB Third Floor;07/01/2018;100
CB Third Floor;08/01/2018;94
CB Third Floor;09/01/2018;84
CB Third Floor;10/01/2018;85
CB Third Floor;11/01/2018;92
CB Third Floor;12/01/2018;94
CB Third Floor;13/01/2018;108
CB Third Floor;14/01/2018;119
CB Third Floor;15/01/2018;109
CB Third Floor;16/01/2018;108
CB Third Floor;17/01/2018;111
CB Third Floor;18/01/2018;106
CB Third Floor;19/01/2018;116
CB Third Floor;20/01/2018;145
CB Third Floor;22/01/2018;90
CB Third Floor;23/01/2018;117
CB Third Floor;24/01/2018;118
CB Third Floor;25/01/2018;96
CB Third Floor;26/01/2018;98
CB Third Floor;27/01/2018;87
CB Third Floor;28/01/2018;86
CB Third Floor;29/01/2018;93
CB Third Floor;30/01/2018;97
CB Third Floor;31/01/2018;95
CB Third Floor;01/02/2018;97
CB Third Floor;02/02/2018;98
CB Third Floor;03/02/2018;114
CB Third Floor;04/02/2018;116
CB Third Floor;05/02/2018;113
CB Third Floor;06/02/2018;130
CB Third Floor;07/02/2018;121
CB Third Floor;08/02/2018;99
CB Third Floor;09/02/2018;92
CB Third Floor;10/02/2018;109
CB Third Floor;11/02/2018;124
CB Third Floor;12/02/2018;127
CB Third Floor;13/02/2018;128
CB Third Floor;14/02/2018;126
CB Third Floor;15/02/2018;136
CB Third Floor;16/02/2018;126
CB Third Floor;17/02/2018;131
CB Third Floor;18/02/2018;121
CB Third Floor;19/02/2018;132
CB Third Floor;20/02/2018;115
CB Third Floor;21/02/2018;118
CB Third Floor;22/02/2018;133
CB Third Floor;23/02/2018;139
CB Third Floor;24/02/2018;106
CB Third Floor;25/02/2018;170
CB Third Floor;26/02/2018;170
CB Third Floor;27/02/2018;173
CB Third Floor;28/02/2018;172
CB Third Floor;01/03/2018;181
CB Third Floor;02/03/2018;171
CB Third Floor;03/03/2018;172
CB Third Floor;04/03/2018;150
CB Third Floor;05/03/2018;115
CB Third Floor;06/03/2018;106
CB Third Floor;07/03/2018;117
CB Third Floor;08/03/2018;107
CB Third Floor;09/03/2018;79
CB Third Floor;10/03/2018;95
CB Third Floor;11/03/2018;96
CB Third Floor;12/03/2018;80
CB Third Floor;13/03/2018;71
CB Third Floor;14/03/2018;76
CB Third Floor;15/03/2018;89
CB Third Floor;16/03/2018;74
CB Third Floor;17/03/2018;93
CB Third Floor;18/03/2018;100
CB Third Floor;19/03/2018;126
CB Third Floor;20/03/2018;112
CB Third Floor;21/03/2018;110
CB Third Floor;22/03/2018;100
CB Third Floor;23/03/2018;95
CB Third Floor;24/03/2018;90
CB Third Floor;25/03/2018;82
CB Third Floor;26/03/2018;91
CB Third Floor;27/03/2018;85
CB Third Floor;28/03/2018;75
CB Third Floor;29/03/2018;80
CB Third Floor;30/03/2018;66
CB Third Floor;31/03/2018;81
CB Third Floor;01/04/2018;71
CB Third Floor;02/04/2018;71
CB Third Floor;03/04/2018;76
CB Third Floor;04/04/2018;81
CB Third Floor;05/04/2018;64
CB Third Floor;06/04/2018;61
CB Third Floor;07/04/2018;53
CB Third Floor;08/04/2018;45
CB Third Floor;09/04/2018;59
CB Third Floor;10/04/2018;65
CB Third Floor;11/04/2018;70
CB Third Floor;12/04/2018;68
CB Third Floor;13/04/2018;61
CB Third Floor;14/04/2018;48
CB Third Floor;15/04/2018;59
CB Third Floor;16/04/2018;52
CB Third Floor;17/04/2018;49
CB Third Floor;18/04/2018;42
CB Third Floor;19/04/2018;42
CB Third Floor;20/04/2018;51
CB Third Floor;21/04/2018;32
CB Third Floor;22/04/2018;43
CB Third Floor;23/04/2018;38
CB Third Floor;24/04/2018;59
CB Third Floor;25/04/2018;74
CB Third Floor;26/04/2018;81
CB Third Floor;27/04/2018;74
CB Third Floor;28/04/2018;70
CB Third Floor;29/04/2018;69
CB Third Floor;30/04/2018;60
CB Third Floor;01/05/2018;56
CB Third Floor;02/05/2018;59
CB Third Floor;03/05/2018;67
CB Third Floor;04/05/2018;61
CB Third Floor;05/05/2018;55
CB Third Floor;06/05/2018;65
CB Third Floor;07/05/2018;60
CB Third Floor;08/05/2018;65
CB Third Floor;09/05/2018;62
CB Third Floor;10/05/2018;63
CB Third Floor;11/05/2018;65
CB Third Floor;12/05/2018;62
CB Third Floor;13/05/2018;51
CB Third Floor;14/05/2018;42
CB Third Floor;15/05/2018;57
CB Third Floor;16/05/2018;54
CB Third Floor;17/05/2018;63
CB Third Floor;18/05/2018;55
CB Third Floor;19/05/2018;52
CB Third Floor;20/05/2018;52
CB Third Floor;22/05/2018;60
CB Third Floor;23/05/2018;62
CB Third Floor;24/05/2018;71
CB Third Floor;25/05/2018;81
CB Third Floor;26/05/2018;87
CB Third Floor;27/05/2018;91
CB Third Floor;28/05/2018;83
CB Third Floor;29/05/2018;84
CB Third Floor;30/05/2018;90
CB Third Floor;31/05/2018;93
CB Third Floor;01/06/2018;90
CB Third Floor;02/06/2018;93
CB Third Floor;03/06/2018;93
CB Third Floor;04/06/2018;88
CB Third Floor;05/06/2018;92
CB Third Floor;06/06/2018;92
CB Third Floor;07/06/2018;95
CB Third Floor;08/06/2018;84
CB Third Floor;09/06/2018;90
CB Third Floor;10/06/2018;98
CB Third Floor;11/06/2018;111
CB Third Floor;12/06/2018;89
CB Third Floor;13/06/2018;78
CB Third Floor;14/06/2018;90
CB Third Floor;15/06/2018;98
CB Third Floor;16/06/2018;103
CB Third Floor;17/06/2018;107
CB Third Floor;18/06/2018;113
CB Third Floor;19/06/2018;116
CB Third Floor;20/06/2018;120
CB Third Floor;21/06/2018;129
CB Third Floor;22/06/2018;113
CB Third Floor;23/06/2018;90
CB Third Floor;24/06/2018;91
CB Third Floor;25/06/2018;87
CB Third Floor;26/06/2018;91
CB Third Floor;27/06/2018;98
CB Third Floor;28/06/2018;97
CB Third Floor;29/06/2018;111
CB Third Floor;30/06/2018;104
CB Third Floor;01/07/2018;117
CB Third Floor;02/07/2018;125
CB Third Floor;03/07/2018;134
CB Third Floor;04/07/2018;124
CB Third Floor;05/07/2018;109
CB Third Floor;06/07/2018;99
CB Third Floor;07/07/2018;102
CB Third Floor;08/07/2018;105
CB Third Floor;09/07/2018;111
CB Third Floor;10/07/2018;112
CB Third Floor;11/07/2018;102
CB Third Floor;12/07/2018;102
CB Third Floor;13/07/2018;109
CB Third Floor;14/07/2018;107
CB Third Floor;15/07/2018;110
CB Third Floor;16/07/2018;105
CB Third Floor;17/07/2018;107
CB Third Floor;18/07/2018;115
CB Third Floor;19/07/2018;118
CB Third Floor;20/07/2018;120
CB Third Floor;21/07/2018;85
CB Third Floor;22/07/2018;100
CB Third Floor;23/07/2018;115
CB Third Floor;24/07/2018;130
CB Third Floor;25/07/2018;131
CB Third Floor;26/07/2018;124
CB Third Floor;27/07/2018;122
CB Third Floor;28/07/2018;120
CB Third Floor;29/07/2018;119
CB Third Floor;30/07/2018;147
CB Third Floor;31/07/2018;162
CB Third Floor;01/08/2018;162
CB Third Floor;02/08/2018;146
CB Third Floor;03/08/2018;140
CB Third Floor;04/08/2018;99
CB Third Floor;06/08/2018;170
CB Third Floor;07/08/2018;142
CB Third Floor;08/08/2018;141
CB Third Floor;09/08/2018;125
CB Third Floor;10/08/2018;117
CB Third Floor;11/08/2018;120
CB Third Floor;12/08/2018;113
CB Third Floor;13/08/2018;81
CB Third Floor;14/08/2018;66
CB Third Floor;20/08/2018;122
CB Third Floor;21/08/2018;104
CB Third Floor;22/08/2018;108
CB Third Floor;23/08/2018;95
CB Third Floor;24/08/2018;83
CB Third Floor;25/08/2018;54
CB Third Floor;26/08/2018;56
CB Third Floor;27/08/2018;63
CB Third Floor;28/08/2018;69
CB Third Floor;29/08/2018;72
CB Third Floor;30/08/2018;76
CB Third Floor;31/08/2018;63
CB Third Floor;01/09/2018;44
CB Third Floor;02/09/2018;43
CB Third Floor;03/09/2018;52
CB Third Floor;04/09/2018;58
CB Third Floor;05/09/2018;72
CB Third Floor;06/09/2018;82
CB Third Floor;07/09/2018;71
CB Third Floor;08/09/2018;76
CB Third Floor;09/09/2018;77
CB Third Floor;10/09/2018;88
CB Third Floor;11/09/2018;95
CB Third Floor;12/09/2018;96
CB Third Floor;13/09/2018;90
CB Third Floor;14/09/2018;88
CB Third Floor;15/09/2018;77
CB Third Floor;16/09/2018;77
CB Third Floor;17/09/2018;87
CB Third Floor;18/09/2018;82
CB Third Floor;19/09/2018;88
CB Third Floor;20/09/2018;91
CB Third Floor;21/09/2018;88
CB Third Floor;22/09/2018;82
CB Third Floor;23/09/2018;83
CB Third Floor;24/09/2018;86
CB Third Floor;25/09/2018;63
CB Third Floor;26/09/2018;60
CB Third Floor;27/09/2018;64
CB Third Floor;28/09/2018;66
CB Third Floor;29/09/2018;65
CB Third Floor;30/09/2018;53
CB Third Floor;01/10/2018;67
CB Third Floor;02/10/2018;72
CB Third Floor;03/10/2018;78
CB Third Floor;04/10/2018;73
CB Third Floor;05/10/2018;71
CB Third Floor;06/10/2018;65
CB Third Floor;07/10/2018;62
CB Third Floor;08/10/2018;62
CB Third Floor;09/10/2018;59
CB Third Floor;10/10/2018;51
CB Third Floor;11/10/2018;50
CB Third Floor;12/10/2018;55
CB Third Floor;13/10/2018;48
CB Third Floor;14/10/2018;46
CB Third Floor;15/10/2018;52
CB Third Floor;16/10/2018;56
CB Third Floor;17/10/2018;60
CB Third Floor;18/10/2018;61
CB Third Floor;19/10/2018;61
CB Third Floor;20/10/2018;58
CB Third Floor;21/10/2018;61
CB Third Floor;22/10/2018;73
CB Third Floor;23/10/2018;74
CB Third Floor;24/10/2018;75
CB Third Floor;25/10/2018;60
CB Third Floor;26/10/2018;53
CB Third Floor;27/10/2018;53
CB Third Floor;28/10/2018;55
CB Third Floor;29/10/2018;56
CB Third Floor;30/10/2018;76
CB Third Floor;31/10/2018;78
CB Third Floor;01/11/2018;68
CB Third Floor;02/11/2018;55
CB Third Floor;03/11/2018;43
CB Third Floor;04/11/2018;42
CB Third Floor;05/11/2018;53
CB Third Floor;06/11/2018;54
CB Third Floor;07/11/2018;56
CB Third Floor;08/11/2018;46
CB Third Floor;09/11/2018;49
CB Third Floor;10/11/2018;55
CB Third Floor;11/11/2018;53
CB Third Floor;12/11/2018;56
CB Third Floor;13/11/2018;47
CB Third Floor;14/11/2018;47
CB Third Floor;15/11/2018;49
CB Third Floor;16/11/2018;62
CB Third Floor;17/11/2018;58
CB Third Floor;18/11/2018;69
CB Third Floor;19/11/2018;116
CB Third Floor;20/11/2018;133
CB Third Floor;21/11/2018;118
CB Third Floor;22/11/2018;89
CB Third Floor;23/11/2018;91
CB Third Floor;24/11/2018;85
CB Third Floor;25/11/2018;82
CB Third Floor;26/11/2018;82
CB Third Floor;27/11/2018;83
CB Third Floor;28/11/2018;105
CB Third Floor;29/11/2018;125
CB Third Floor;30/11/2018;137
CB Third Floor;01/12/2018;136
CB Third Floor;02/12/2018;135
CB Third Floor;03/12/2018;99
CB Third Floor;04/12/2018;98
CB Third Floor;05/12/2018;93
CB Third Floor;06/12/2018;85
CB Third Floor;07/12/2018;96
CB Third Floor;08/12/2018;87
CB Third Floor;09/12/2018;107
CB Third Floor;10/12/2018;91
CB Third Floor;11/12/2018;103
CB Third Floor;12/12/2018;132
CB Third Floor;13/12/2018;147
CB Third Floor;14/12/2018;149
CB Third Floor;15/12/2018;158
CB Third Floor;16/12/2018;177
CB Third Floor;17/12/2018;160
CB Third Floor;18/12/2018;155
CB Third Floor;19/12/2018;165
